Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
430,A775476,2020-06-08T16:49:00.000,2020-06-08T16:49:00.000,2017-06-30T00:00:00.000,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White,*Oreo
431,A818169,2020-06-08T16:49:00.000,2020-06-08T16:49:00.000,2020-04-03T00:00:00.000,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair,Black,
432,A818270,2020-06-08T16:19:00.000,2020-06-08T16:19:00.000,2019-06-04T00:00:00.000,Transfer,Partner,Dog,Spayed Female,1 year,Toy Fox Terrier,White/Red,*Thelma
433,A818271,2020-06-08T16:19:00.000,2020-06-08T16:19:00.000,2019-06-04T00:00:00.000,Transfer,Partner,Dog,Spayed Female,1 year,Toy Fox Terrier,White/Red,*Louise
434,A818275,2020-06-08T16:17:00.000,2020-06-08T16:17:00.000,2016-06-04T00:00:00.000,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair,White/Tan,Lucky
435,A818241,2020-06-08T16:10:00.000,2020-06-08T16:10:00.000,2018-06-04T00:00:00.000,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Blue/White,
436,A817767,2020-06-08T15:53:00.000,2020-06-08T15:53:00.000,2018-11-26T00:00:00.000,Return to Owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair,Brown/Black,Pinki
437,A818385,2020-06-08T15:29:00.000,2020-06-08T15:29:00.000,2020-03-17T00:00:00.000,Return to Owner,,Cat,Intact Male,2 months,Domestic Shorthair,Blue Smoke,
438,A818378,2020-06-08T15:16:00.000,2020-06-08T15:16:00.000,2018-06-07T00:00:00.000,Return to Owner,,Dog,Intact Male,2 years,Pit Bull,Brown/White,Royce
439,A818386,2020-06-08T13:49:00.000,2020-06-08T13:49:00.000,2017-06-08T00:00:00.000,Transfer,Partner,Dog,Intact Male,3 years,Pit Bull/Chinese Sharpei,Red,
440,A818382,2020-06-08T13:47:00.000,2020-06-08T13:47:00.000,2020-04-08T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 month,Boxer,Brown/Black,Cookie
